# 大陸地區大學及高等專科學歷查證
# https://mewtwo.nchu.edu.tw/enroll/vmhd_schoolqry

序號	學校名稱	所在地	網址	備註
98	廈門大學	福建	http://www.xmu.edu.cn/
99	福建師範大學	福建	http://www.fjnu.edu.cn/
100	南昌大學	江西	http://www.ncu.edu.cn/
101	江西財經大學	江西	http://www.jxufe.edu.cn/
102	山東大學	山東	http://www.sdu.edu.cn/
103	中國石油大學(華東)	山東	http://www.upc.edu.cn/
104	中國海洋大學	山東	http://www.ouc.edu.cn/
105	山東農業大學	山東	http://www.sdau.edu.cn/
106	濟南大學	山東	http://www.ujn.edu.cn/
107	山東財經大學	山東	http://www.sdufe.edu.cn/
108	鄭州大學	河南	http://www.zzu.edu.cn/
109	河南大學	河南	http://www.henu.edu.cn/
110	河南農業大學	河南	http://www.henau.edu.cn/
111	中南財經政法大學	湖北	http://www.znufe.edu.cn/
112	中國地質大學(武漢)	湖北	http://www.cug.edu.cn/
113	武漢大學	湖北	http://www.whu.edu.cn/
114	武漢理工大學	湖北	http://www.whut.edu.cn/
115	華中科技大學	湖北	http://www.hust.edu.cn/
116	華中師範大學	湖北	http://www.ccnu.edu.cn/
117	華中農業大學	湖北	http://www.hzau.edu.cn/
118	武漢體育學院	湖北	http://www.wipe.edu.cn/
119	中南大學	湖南	http://www.csu.edu.cn/
120	湖南大學	湖南	http://www.hnu.edu.cn/
121	湖南師範大學	湖南	http://www.hunnu.edu.cn/
122	湘潭大學	湖南	http://www.xtu.edu.cn/
123	長沙理工大學	湖南	http://www.csust.edu.cn/
124	中山大學	廣東	http://www.sysu.edu.cn/
125	華南師範大學	廣東	http://www.scnu.edu.cn/scnu/
126	華南理工大學	廣東	http://www.scut.edu.cn/
127	暨南大學	廣東	http://www.jnu.edu.cn/	(自114年6月20日起入學學歷不予採認)
128	廣州美術學院	廣東	http://www.gzarts.edu.cn
129	廣西大學	廣西	http://www.gxu.edu.cn/
130	海南大學	海南	http://www.hainu.edu.cn/
131	西南大學	重慶	http://www.swnu.edu.cn/
132	重慶大學	重慶	http://www.cqu.edu.cn/
133	四川大學	四川	http://www.scu.edu.cn/
134	四川農業大學	四川	http://www.sicau.edu.cn/
135	西南交通大學	四川	http://www.swjtu.edu.cn/
136	西南財經大學	四川	http://www.swufe.edu.cn/
137	電子科技大學	四川	http://www.uestc.edu.cn/
138	成都理工大學	四川	http://www.cdut.edu.cn/
139	西南科技大學	四川	http://www.swust.edu.cn/
140	貴州大學	貴州	http://www.gzu.edu.cn/
141	雲南大學	雲南	http://www.ynu.edu.cn/
142	西藏大學	西藏	http://www.utibet.edu.cn/
143	西北大學	陝西	http://www.nwu.edu.cn/
144	西北工業大學	陝西	http://www.nwpu.edu.cn/
145	西北農林科技大學	陝西	http://www.nwsuaf.edu.cn/
146	西安交通大學	陝西	http://www.xjtu.edu.cn/
147	西安電子科技大學	陝西	http://www.xidian.edu.cn/
148	長安大學	陝西	http://www.chd.edu.cn/
149	陝西師範大學	陝西	http://www.snnu.edu.cn/
150	蘭州大學	甘肅	http://www.lzu.edu.cn/
151	西北師範大學	甘肅	http://www.nwnu.edu.cn/
152	青海大學	青海	http://www.qhu.edu.cn/
153	寧夏大學	寧夏	http://www.nxu.edu.cn/
154	石河子大學	新疆	http://www.shzu.edu.cn/
155	新疆大學	新疆	http://www.xju.edu.cn/
156	北京工業職業技術學院	北京市	http://www.bgy.org.cn/
157	北京電子科技職業學院	北京市	http://www.dky.bjedu.cn/
158	北京農業職業學院	北京市	http://www.bvca.edu.cn/
