# 合作办学高等学校名单

http://www.moe.gov.cn/s78/A03/ghs_left/moe_634/tnull_851.html

编号	合作办学学校	签署协议时间
113	涪陵师范高等专科学校 渝州大学	1997.4--2000.4
114	北京联合大学 北京广播电视大学	1997.5--1999.5
115	清华大学 北京体育大学	1997.6--
116	南昌大学 江西医学院	1997.6--
117	南昌大学 江西农业大学	1997.6--
118	重庆邮电学院 重庆商学院	1997.6--
119	重庆邮电学院 重庆交通学院	1997.6--2006.6
120	重庆交通学院 重庆商学院	1997.6--2006.6
121	重庆邮电学院 重庆大学	1997.7--
122	北京师范大学 首都医科大学	1997.9--
123	中国协和医科大学 北京大学	1997.9--
124	北京建筑工程学院 北方交通大学	1997.9--
125	重庆工业管理学院 中国人民大学	1997.9--
126	北京联合大学 石油大学	1997.9--1998.9
127	北京中医药大学 清华大学	1997.9--2000
128	云南公安高等专科学校 云南广播电视大学	1997.9--2000.7
129	四川师范大学 乐山师范高等专科学校	1998年
130	四川师范学院 内江师范高等专科学校	1998年
131	四川师范学院 绵阳师范高等专科学校	1998年
132	西南工学院 绵阳经济技术高等专科学校	1998年
133	四川工业学院 西昌农业高等专科学校	1998年
134	四川联合大学 西昌农业高等专科学校	3年
135	四川联合大学 成都中医药大学	4年
136	绵阳师范高等专科学校 西南工学院 绵阳经济技术高等专科学校 绵阳教育学院	5年
137	内蒙古工业大学 天津大学	97-
138	内蒙古工业大学 山东大学	97-
139	内蒙古工业大学 广西大学	97-
140	内蒙古工业大学 太原理工大学	97-
141	包头钢铁学院 内蒙古大学 内蒙古工业大学	97-
142	包头钢铁学院 北京科技大学	97-
143	包头钢铁学院 东北大学	97-
144	包头钢铁学院 天津大学	97-
145	包头钢铁学院 北京化工大学	97-
146	包头钢铁学院 北京建工学院	97-
147	包头钢铁学院 东北师大	97-
148	包头钢铁学院 同济大学	97-
149	包头钢铁学院 清华大学	97-
150	包头钢铁学院 北京师大	97-
151	内蒙古财经学院 中国人民大学	97-
152	内蒙古林学院 北京林业大学	97-
153	内蒙古民族师范学院 辽宁大学 吉林大学 东北师大 中央民族大学	97-
154	集宁高等师范专科学校 内蒙古大学 内蒙古师范大学	97-
155	包头师范高等专科学校 内蒙古教育学院	97-
156	包头师范高等专科学校 首都师范大学	97-
157	包头师范高等专科学校 天津大学	97-
158	包头师范高等专科学校 黑龙江教育学院	97-
159	内蒙古大学 内蒙古工业大学 内蒙古农牧学院	98-
160	内蒙古农牧学院 内蒙古林学院	98-
161	呼伦贝尔学院 内蒙古民族师范学院	98-
162	呼伦贝尔学院 齐齐哈尔师范学院	98-
163	吉林电气化高等专科学校 长春建筑高等专科学校 长春工业高等专科学校	98-
164	安徽大学 安徽农业大学 安徽医科大学 安徽中医学院	98-
165	福建中医学院 福建师范大学	长期
166	福建中华职业大学 福州大学	长期
167	湘潭工学院 湘潭大学	长期
168	湘潭工学院 湘潭师范学院	长期
169	湘潭工学院 湘潭机电高等专科学校	长期
170	湘潭工学院 湖南纺织高等专科学校	长期
171	郴州医学高等专科学校 湖南医科大学	长期
172	广西工学院 广西柳州机械高级技工学校	长期
173	广西师范大学 桂林电子工业学院	长期
174	成都理工学院 自贡高等专科学校	长期
175	攀枝花大学 四川工业学院	长期
176	桂林工学院 桂林高炮学院	三年
177	邵阳师范高等专科学校 中南工业大学	至2000年
178	邵阳师范高等专科学校 湖南师范大学	至2000年
179	邵阳师范高等专科学校 湘潭师范学院	至2000年
180	邵阳师范高等专科学校 株洲工学院	至2000年
181	邵阳师范高等专科学校 长沙铁道学院	至2000年
182	大连外国语学院 大连医科大学
183	中国医科大学 大连理工大学
184	中国医科大学 沈阳药科大学
